"studio name","film name","year"
"Marvel Studios","Iron Man","1995"
"Marvel Studios","The Incredible Hulk","1995"
"Marvel Studios","Thor","2011"
"Marvel Studios","Captain America: The First Avenger","2011"
"Marvel Studios","The Avengers","2012"
"Marvel Studios","Iron Man 2","2010"
"Marvel Studios","Guardians of the Galaxy","2014"
"Marvel Studios","Captain Marvel","2019"
"Marvel Studios","Black Panther","2018"
"Marvel Studios","Doctor Strange","2016"
"DC Studios","The Dark Knight","2008"
"DC Studios","Batman v Superman: Dawn of Justice","2016"
"DC Studios","Justice League","2017"
"DC Studios","Wonder Woman","2017"
"DC Studios","Aquaman","2018"
"DC Studios","Shazam!","1995"
"DC Studios","The Flash","2023"
"DC Studios","Zack Snyder's Justice League","2021"
"DC Studios","The Batman","2022"
"DC Studios","Shazam! Fury of the Gods","2023"
"Walt Disney Pictures","The Lion King","1995"
"Walt Disney Pictures","Frozen","2013"
"Walt Disney Pictures","The Little Mermaid","1995"
"Walt Disney Pictures","Aladdin","1995"
"Walt Disney Pictures","Beauty and the Beast","1991"
"Walt Disney Pictures","Mulan","1995"
"Walt Disney Pictures","Toy Story","1995"
"Walt Disney Pictures","The Princess and the Frog","2009"
"Walt Disney Pictures","Wreck-It Ralph","2012"
"Walt Disney Pictures","Moana","2016"
"Pixar Animation Studios","A Bug's Life","1995"
"Pixar Animation Studios","Finding Nemo","2003"
"Pixar Animation Studios","The Incredibles","2004"
"Pixar Animation Studios","Up","2009"
"Pixar Animation Studios","WALL-E","2008"
"Pixar Animation Studios","Brave","2012"
"Pixar Animation Studios","Coco","2017"
"Pixar Animation Studios","Inside Out","2015"
"Pixar Animation Studios","Toy Story 2","1999"
"Warner Bros. Pictures","The Dark Knight Rises","2012"
"Warner Bros. Pictures","Harry Potter and the Sorcerer's Stone","1995"
"Warner Bros. Pictures","The Lord of the Rings: The Fellowship of the Ring","2001"
"Warner Bros. Pictures","The Lord of the Rings: The Two Towers","2002"
"Warner Bros. Pictures","The Lord of the Rings: The Return of the King","2003"
"Warner Bros. Pictures","Batman Begins","2005"
